stop_id,name,latitude,longitude
1003,Atlanta Av & 11th Av,33.400036,-112.085804
1006,Baseline Rd & 7th Av,33.377608,-112.082137
1008,Baseline Rd & 15th Av,33.377614,-112.091452
1011,Baseline Rd & 4th Av,33.377642,-112.078664
1087,Broadway Rd & 15th Av,33.406636,-112.090158
1089,Broadway Rd & 7th Av,33.406605,-112.081415
1112,Broadway Rd & 9th Av,33.406617,-112.085198
125,Broadway Rd & 18th St,33.406697,-112.042756
127,Broadway Rd & 12th St,33.406639,-112.055173
128,Broadway Rd & 14th St,33.406659,-112.051018
129,Broadway Rd & 16th St,33.406643,-112.046476
130,Broadway Rd & 20th St,33.406725,-112.038645
148,Broadway Rd & 4th St,33.406618,-112.068592
150,Broadway Rd & 7th St,33.406571,-112.063877
151,Broadway Rd & 9th St,33.406623,-112.059759
156,Broadway Rd & Central Av,33.406549,-112.07265
1622,Roeser Rd & 7th Av,33.399233,-112.081431
1623,Roeser Rd & Montezuma St,33.399493,-112.077273
1630,Southern Av & 7th Av,33.392127,-112.081366
1631,Southern Av & 13th Av,33.392122,-112.087765
1648,Southern Av & Montezuma St,33.392139,-112.077381
1657,Southern Av & 1717 West,33.392135,-112.094512
20060,7th St & Jesse Owens Pkwy,33.374562,-112.065856
20061,7th St & Baseline Rd,33.377137,-112.064784
20115,16th St & Riverview Dr,33.420615,-112.047584
20116,16th St & Riverview Dr,33.420606,-112.047847
2573,7th Av & Apache St,33.430353,-112.082349
2575,7th Av & Broadway Rd,33.407205,-112.081871
2582,7th Av & Elwood St,33.414359,-112.081907
2590,7th Av & Jones Av,33.411141,-112.081883
2591,7th Av & Lower Buckeye Rd,33.422433,-112.082281
2599,7th Av & Pima St,33.433529,-112.082375
2600,7th Av & Roeser Rd,33.399665,-112.081843
2603,7th Av & Southern Av,33.392719,-112.081811
2604,7th Av & Sunland Av,33.396069,-112.081834
2607,7th Av & Watkins St,33.426291,-112.082311
2609,7th Av & Tamarisk St,33.404289,-112.081862
3154,15th Av & Pima St,33.433371,-112.091128
3156,16th St & Alta Vista Rd,33.389091,-112.047171
3157,16th St & Baseline Rd,33.378301,-112.047219
